Image_Path,Wavelength_nm,Scattering_Coefficient,Anisotropy,Absorption_Coefficient
IMAGES/0.png,532,1.833333333,0.764444444,0.566666667
IMAGES/1.png,780,1.611111111,0.957777778,0.722222222
IMAGES/2.png,450,1.611111111,0.828888889,1.5
IMAGES/3.png,780,2.5,0.925555556,1.188888889
IMAGES/4.png,450,0.722222222,0.893333333,0.255555556
IMAGES/5.png,650,0.944444444,0.764444444,1.5
IMAGES/6.png,532,0.722222222,0.893333333,0.411111111
IMAGES/7.png,780,2.055555556,0.828888889,0.411111111
IMAGES/8.png,532,0.944444444,0.764444444,1.033333333
IMAGES/9.png,532,2.277777778,0.796666667,1.344444444
IMAGES/10.png,450,2.055555556,0.796666667,0.255555556
IMAGES/11.png,450,2.5,0.925555556,0.411111111
IMAGES/12.png,650,1.166666667,0.925555556,0.1
IMAGES/13.png,650,1.166666667,0.732222222,0.566666667
IMAGES/14.png,450,0.5,0.957777778,1.188888889
IMAGES/15.png,650,1.166666667,0.893333333,0.722222222
IMAGES/16.png,532,0.722222222,0.893333333,0.566666667
IMAGES/17.png,780,1.833333333,0.99,0.255555556
IMAGES/18.png,650,0.722222222,0.99,1.344444444
IMAGES/19.png,532,0.5,0.861111111,0.722222222
IMAGES/20.png,532,2.5,0.893333333,0.1
IMAGES/21.png,450,0.722222222,0.796666667,0.877777778
IMAGES/22.png,780,1.611111111,0.7,0.566666667
IMAGES/23.png,650,2.277777778,0.861111111,0.411111111
IMAGES/24.png,532,1.611111111,0.732222222,1.5
IMAGES/25.png,780,0.5,0.957777778,0.566666667
IMAGES/26.png,450,1.611111111,0.7,0.255555556
IMAGES/27.png,532,2.277777778,0.861111111,0.411111111
IMAGES/28.png,532,2.055555556,0.99,1.5
IMAGES/29.png,532,1.833333333,0.893333333,0.722222222
IMAGES/30.png,780,0.722222222,0.861111111,0.566666667
IMAGES/31.png,532,2.277777778,0.764444444,0.411111111
IMAGES/32.png,650,0.944444444,0.99,1.5
IMAGES/33.png,450,1.166666667,0.99,1.344444444
IMAGES/34.png,780,0.944444444,0.796666667,1.5
IMAGES/35.png,532,1.611111111,0.7,1.5
IMAGES/36.png,450,0.944444444,0.7,1.5
IMAGES/37.png,532,2.5,0.893333333,1.5
IMAGES/38.png,532,1.611111111,0.7,1.188888889
IMAGES/39.png,450,2.5,0.925555556,0.566666667
IMAGES/40.png,780,1.388888889,0.99,0.877777778
IMAGES/41.png,650,1.388888889,0.732222222,1.188888889
IMAGES/42.png,450,0.722222222,0.861111111,0.255555556
IMAGES/43.png,450,2.277777778,0.957777778,0.566666667
IMAGES/44.png,650,1.388888889,0.893333333,1.188888889
IMAGES/45.png,532,0.944444444,0.796666667,0.255555556
IMAGES/46.png,650,2.5,0.732222222,0.722222222
IMAGES/47.png,780,1.833333333,0.828888889,1.188888889
IMAGES/48.png,450,0.944444444,0.828888889,1.033333333
IMAGES/49.png,650,0.944444444,0.732222222,0.722222222
IMAGES/50.png,780,1.166666667,0.764444444,1.344444444
IMAGES/51.png,650,0.722222222,0.925555556,1.033333333
IMAGES/52.png,650,0.722222222,0.796666667,1.344444444
IMAGES/53.png,650,1.611111111,0.957777778,0.1
IMAGES/54.png,780,1.388888889,0.957777778,1.188888889
IMAGES/55.png,450,1.611111111,0.828888889,0.566666667
IMAGES/56.png,650,1.388888889,0.957777778,0.1
IMAGES/57.png,780,1.388888889,0.957777778,0.877777778
IMAGES/58.png,650,2.5,0.99,1.5
IMAGES/59.png,532,1.611111111,0.764444444,1.5
IMAGES/60.png,650,2.5,0.732222222,0.255555556
IMAGES/61.png,650,1.388888889,0.99,0.566666667
IMAGES/62.png,450,1.166666667,0.957777778,0.877777778
IMAGES/63.png,532,1.833333333,0.796666667,1.344444444
IMAGES/64.png,780,1.166666667,0.796666667,0.411111111
IMAGES/65.png,780,1.388888889,0.732222222,0.722222222
IMAGES/66.png,450,0.722222222,0.7,0.411111111
IMAGES/67.png,450,1.611111111,0.957777778,0.566666667
IMAGES/68.png,780,2.5,0.99,0.411111111
IMAGES/69.png,650,1.611111111,0.796666667,1.188888889
IMAGES/70.png,650,2.5,0.861111111,0.411111111
IMAGES/71.png,780,1.388888889,0.925555556,0.255555556
IMAGES/72.png,780,1.611111111,0.796666667,0.877777778
IMAGES/73.png,650,1.166666667,0.796666667,0.566666667
IMAGES/74.png,780,0.722222222,0.796666667,1.5
IMAGES/75.png,532,1.388888889,0.925555556,1.344444444
IMAGES/76.png,780,2.5,0.925555556,1.188888889
IMAGES/77.png,780,0.722222222,0.796666667,1.188888889
IMAGES/78.png,532,1.166666667,0.893333333,1.188888889
IMAGES/79.png,532,1.611111111,0.796666667,0.877777778
IMAGES/80.png,532,0.5,0.764444444,0.411111111
IMAGES/81.png,450,2.055555556,0.828888889,0.1
IMAGES/82.png,450,1.833333333,0.828888889,0.1
IMAGES/83.png,650,1.166666667,0.764444444,1.033333333
IMAGES/84.png,532,1.166666667,0.861111111,1.344444444
IMAGES/85.png,450,1.388888889,0.925555556,1.5
IMAGES/86.png,450,0.5,0.828888889,0.255555556
IMAGES/87.png,450,1.833333333,0.828888889,0.1
IMAGES/88.png,650,2.055555556,0.861111111,0.566666667
IMAGES/89.png,780,1.166666667,0.861111111,0.566666667
IMAGES/90.png,650,2.5,0.796666667,0.255555556
IMAGES/91.png,532,2.277777778,0.861111111,0.566666667
IMAGES/92.png,780,2.277777778,0.764444444,1.344444444
IMAGES/93.png,780,0.722222222,0.925555556,0.1
IMAGES/94.png,532,2.055555556,0.99,0.255555556
IMAGES/95.png,450,1.611111111,0.957777778,0.411111111
IMAGES/96.png,450,0.5,0.796666667,1.5
IMAGES/97.png,532,2.5,0.732222222,1.188888889
IMAGES/98.png,780,2.277777778,0.99,0.566666667
IMAGES/99.png,532,0.944444444,0.99,0.877777778
IMAGES/100.png,450,0.722222222,0.796666667,0.722222222
IMAGES/101.png,780,1.611111111,0.828888889,0.411111111
IMAGES/102.png,650,0.944444444,0.7,0.722222222
IMAGES/103.png,780,1.833333333,0.796666667,0.1
IMAGES/104.png,532,1.833333333,0.796666667,0.877777778
IMAGES/105.png,650,1.611111111,0.99,1.344444444
IMAGES/106.png,450,1.166666667,0.893333333,0.255555556
IMAGES/107.png,780,2.5,0.893333333,0.877777778
IMAGES/108.png,650,0.5,0.957777778,1.033333333
IMAGES/109.png,532,1.166666667,0.7,0.566666667
IMAGES/110.png,532,2.277777778,0.99,1.033333333
